GTps-k1-9D5C	GT-K06180
GTps-k1-E468	GT-K06181
GTps-k2-89E1	GT-K06182
GTps-02-8B83	GT-K06183
GTps-k1-9843	GT-K06184
GTps-02-8B62	GT-K06185
GTps-09-9950	GT-K06186
GTps-05-9A69	GT-K06187
GTps-k2-8E9F	GT-K06188
GTps-k1-9C88	GT-K06189
GTps-05-9A52	GT-K06190
GTps-05-9A51	GT-K06191
GTps-k1-E4AE	GT-K06192
GTps-k1-EAA0	GT-K06193
GTps-k1-9F66	GT-K06194
GTps-04-E7EA	GT-K06195
GTps-k1-9D8F	GT-K06196
GTps-03-98AB	GT-K06197
GTps-k1-975D	GT-K06198
GTps-03-98D7	GT-K06199
GTps-k1-9C8A	GT-K06200
GTps-09-E6BE	GT-K06201
GTps-k1-E3EC	GT-K06202
GTps-k1-E3F3	GT-K06203
GTps-k1-E3ED	GT-K06204
GTps-k1-E758	GT-K06205
GTps-k1-975B	GT-K06206
GTps-k1-E063	GT-K06207
GTps-k1-9CDB	GT-K06208
GTps-k2-8EB5	GT-K06209
GTps-k1-E7FB	GT-K06210
GTps-06-E5DE	GT-K06211
GTps-02-E05C	GT-K06212
GTps-k1-9D91	GT-K06213
GTps-k1-91AA	GT-K06214
GTps-k2-90A4	GT-K06215
GTps-k1-EA81	GT-K06216
GTps-k1-9558	GT-K06217
GTps-k1-9F53	GT-K06218
GTps-k1-907C	GT-K06219
GTps-k1-8FAE	GT-K06220
GTps-02-969D	GT-K06221
GTps-k1-9F69	GT-K06222
GTps-k1-9BA1	GT-K06223
GTps-k1-99F8	GT-K06224
GTps-02-96DE	GT-K06225
GTps-05-94E4	GT-K06226
GTps-k1-8D69	GT-K06227
GTps-k1-E75D	GT-K06228
GTps-k1-E8CC	GT-K06229
GTps-k1-8AA7	GT-K06230
GTps-k2-90CE	GT-K06231
GTps-k1-96A7	GT-K06232
GTps-k1-E5F8	GT-K06233
GTps-k1-E544	GT-K06234
GTps-k2-9397	GT-K06235
GTps-k1-E759	GT-K06236
GTps-k2-93CA	GT-K06237
GTps-k1-964F	GT-K06238
GTps-k1-97BD	GT-K06239
GTps-k2-92E4	GT-K06240
GTps-k2-88DB	GT-K06241
GTps-k1-E6DD	GT-K06242
GTps-k1-9DC0	GT-K06243
GTps-k2-8AFA	GT-K06244
GTps-k1-9044	GT-K06245
GTps-k1-9D90	GT-K06246
GTps-k2-8C4D	GT-K06247
GTps-k2-95A3	GT-K06248
GTps-k1-E46A	GT-K06249
GTps-k2-94A2	GT-K06250
GTps-03-E86A} \hspace{0.3cm} \small{\textbf{K06251
GTps-k1-E1BF	GT-K06252
GTps-09-9DFB	GT-K06253
GTps-k2-8BD9	GT-K06254
GTps-k2-927A	GT-K06255
GTps-k2-8AE0	GT-K06256
GTps-k1-9298	GT-K06257
GTps-k1-9352	GT-K06258
GTps-k1-9490	GT-K06259
GTps-k1-E3F1	GT-K06260
GTps-k1-93C9	GT-K06261
GTps-k1-9AB5	GT-K06262
GTps-09-9644	GT-K06263
GTps-03-E848	GT-K06264
GTps-05-8A50	GT-K06265
GTps-k1-9847	GT-K06266
GTps-k1-9756	GT-K06267
GTps-k1-9840	GT-K06268
GTps-02-89D0	GT-K06269
GTps-k2-89D5	GT-K06270
GTps-k1-E5E1	GT-K06271
GTps-07-90E0	GT-K06272
GTps-k1-92DF	GT-K06273
GTps-k2-8D71	GT-K06274
GTps-k1-E7B9	GT-K06275
GTps-k1-9A5B	GT-K06276
GTps-k1-93F9	GT-K06277
GTps-k1-90F8	GT-K06278
GTps-k1-9CFA	GT-K06279
GTps-k1-9C89	GT-K06280
GTps-k1-8FBF	GT-K06281
GTps-k1-93CA	GT-K06282
GTps-k2-94B7	GT-K06283
GTps-k1-91A3	GT-K06284
GTps-k1-E064	GT-K06285
GTps-k1-90F7	GT-K06286
GTps-k1-E659	GT-K06287
GTps-06-8DDD	GT-K06288
GTps-k1-91B8	GT-K06289
GTps-02-E969	GT-K06290
GTps-k1-9D61	GT-K06291
GTps-k1-9EDF	GT-K06292
GTps-k1-9D98	GT-K06293
GTps-k2-8E9B	GT-K06294
GTps-k1-8984	GT-K06295
GTps-k1-955B	GT-K06296
GTps-k1-9561	GT-K06297
GTps-k1-959A	GT-K06298
GTps-k2-8EB2	GT-K06299
GTps-k1-96D2	GT-K06300
GTps-k1-E060	GT-K06301
GTps-k1-E0D5	GT-K06302
GTps-k1-E28D	GT-K06303
GTps-k2-8967	GT-K06304
GTps-k1-9DBE	GT-K06305
GTps-k2-88C6	GT-K06306
GTps-k1-9F7C	GT-K06307
GTps-09-9669	GT-K06308
GTps-k1-9081	GT-K06309
GTps-05-9598	GT-K06310
GTps-k1-E39F	GT-K06311
GTps-k1-9CD9	GT-K06312
GTps-k2-89BE	GT-K06313
GTps-k1-E043	GT-K06314
GTps-k1-95E8	GT-K06315
GTps-k1-E7BB	GT-K06316
GTps-k1-9CAB	GT-K06317
GTps-k1-E3F0	GT-K06318
GTps-k2-8EAB	GT-K06319
GTps-02-96E1	GT-K06320
GTps-k1-E7F9	GT-K06321
GTps-k2-8945	GT-K06322
GTps-k1-8D81	GT-K06323
GTps-02-994C	GT-K06324
GTps-05-8A62	GT-K06325
GTps-k2-89E6	GT-K06326
GTps-k1-E977	GT-K06327
GTps-k2-898F	GT-K06328
GTps-k1-E36A	GT-K06329
GTps-k1-E841	GT-K06330
GTps-k1-E951	GT-K06331
GTps-k2-8AB5	GT-K06332
GTps-05-9146	GT-K06333
GTps-k1-98D4	GT-K06334
GTps-k1-8D47	GT-K06335
GTps-k1-9BA2	GT-K06336
GTps-k1-E995	GT-K06337
GTps-k1-9EDD	GT-K06338
GTps-03-9E69	GT-K06339
GTps-k1-93F4	GT-K06340
GTps-k1-E14A	GT-K06341
GTps-k1-E146	GT-K06342
GTps-05-98A8	GT-K06343
GTps-k1-9DBF	GT-K06344
GTps-k1-90C3	GT-K06345
GTps-06-88FC	GT-K06346
GTps-k2-93B8	GT-K06347
GTps-09-E3A7	GT-K06348
GTps-k1-9196	GT-K06349
GTps-k1-EA60	GT-K06350
GTps-k2-9165	GT-K06351
GTps-06-91A6	GT-K06352
GTps-k1-9CD0	GT-K06353
GTps-k1-E2C4	GT-K06354
GTps-k2-8AA5	GT-K06355
GTps-k1-E6A9	GT-K06356
GTps-k2-8BF9	GT-K06357
GTps-k2-94C2	GT-K06358
GTps-k1-93CB	GT-K06359
GTps-k1-984B	GT-K06360
GTps-k1-9178	GT-K06361
GTps-k1-E25C	GT-K06362
GTps-k1-909A	GT-K06363
GTps-k1-975C	GT-K06364
GTps-k1-9FCC	GT-K06365
GTps-07-90E1	GT-K06366
GTps-k1-9B9F	GT-K06367
GTps-k2-898B	GT-K06368
GTps-k1-9EE1	GT-K06369
GTps-k1-9C8D	GT-K06370
GTps-k2-8988	GT-K06371
GTps-k1-9D5E	GT-K06372
GTps-k2-925D	GT-K06373
GTps-01-88F5} \hspace{0.2cm} \small{\textbf{K06374
GTps-01-8947	GT-K06375
GTps-01-8959	GT-K06376
GTps-01-8983	GT-K06377
GTps-06-8A43	GT-K06378
GTps-06-8A42	GT-K06379
GTps-01-89B6	GT-K06380
GTps-01-89C4	GT-K06381
GTps-02-E364	GT-K06382
GTps-01-89C6	GT-K06383
GTps-01-89D7	GT-K06384
GTps-01-89D8	GT-K06385
GTps-04-96EE	GT-K06386
GTps-02-EA48	GT-K06387
GTps-01-8A51	GT-K06388
GTps-k1-8A50	GT-K06389
GTps-01-8A69	GT-K06390
GTps-01-8A98	GT-K06391
GTps-01-8ABA	GT-K06392
GTps-01-8ACE	GT-K06393
GTps-01-8AF9	GT-K06394
GTps-01-8B41	GT-K06395
GTps-01-8B4C	GT-K06396
GTps-01-8B51	GT-K06397
GTps-01-8B53	GT-K06398
GTps-07-9BDC	GT-K06399
GTps-01-8B7B	GT-K06400
GTps-01-8B93	GT-K06401
GTps-01-8BB0	GT-K06402
GTps-01-8BB1	GT-K06403
GTps-01-8BBA	GT-K06404
GTps-01-8BE4	GT-K06405
GTps-01-8BE9	GT-K06406
GTps-03-8ABA	GT-K06407
GTps-01-8BFB	GT-K06408
GTps-01-8C49	GT-K06409
GTps-01-8C4B	GT-K06410
GTps-01-8C53	GT-K06411
GTps-k2-8BBD	GT-K06412
GTps-01-8C62	GT-K06413
GTps-01-8C6A	GT-K06414
GTps-09-96BF	GT-K06415
GTps-02-8EEE	GT-K06416
GTps-01-8C93	GT-K06417
GTps-01-8C95	GT-K06418
GTps-03-9F79	GT-K06419
GTps-01-8C9D	GT-K06420
GTps-01-8CAC	GT-K06421
GTps-01-8CB4	GT-K06422
GTps-01-8CC9	GT-K06423
GTps-01-8CE5	GT-K06424
GTps-01-8CF3	GT-K06425
GTps-01-8D57	GT-K06426
GTps-01-8D6B	GT-K06427
GTps-06-95A5	GT-K06428
GTps-01-8D76	GT-K06429
GTps-01-8D82	GT-K06430
GTps-01-8D9C	GT-K06431
GTps-01-8DAA	GT-K06432
GTps-01-8DB7	GT-K06433
GTps-01-8DC0	GT-K06434
GTps-01-8DC9	GT-K06435
GTps-01-8DCD	GT-K06436
GTps-01-8DF1	GT-K06437
GTps-01-8DF3	GT-K06438
GTps-01-8DF5	GT-K06439
GTps-01-8E45	GT-K06440
GTps-k1-9A50	GT-K06441
GTps-01-8E4E	GT-K06442
GTps-01-8E56	GT-K06443
GTps-01-8E5C	GT-K06444
GTps-01-8E63	GT-K06445
GTps-01-8E74	GT-K06446
