C2-2360	 U+5C8D
C2-2361	 U+5C8F
C2-2362	 U+5C88
C2-2363	 U+5C8B
C2-2364	 U+5C89
C2-2365	 U+5C92
C2-2366	 U+5C8A
C2-2367	 U+5C86
C2-2368	 U+5C93
C2-2369	 U+5C95
C2-236A	 U+5DE0
C2-236B	 U+5E0A
C2-236C	 U+5E0E
C2-236D	 U+5E8B
C2-236E	 U+5E89
C2-236F	 U+5E8C
C2-2370	 U+5E88
C2-2371	 U+5E8D
C2-2372	 U+5F05
C2-2373	 U+5F1D
C2-2374	 U+5F78
C2-2375	 U+5F76
C2-2376	 U+5FD2
C2-2377	 U+5FD1
C2-2378	 U+5FD0
C2-2379	 U+5FED
C2-237A	 U+5FE8
C2-237B	 U+5FEE
C2-237C	 U+5FF3
C2-237D	 U+5FE1
C2-237E	 U+5FE4
C2-2421	 U+5FE3
C2-2422	 U+5FFA
C2-2423	 U+5FEF
C2-2424	 U+5FF7
C2-2425	 U+5FFB
C2-2426	 U+6000
C2-2427	 U+5FF4
C2-2428	 U+623A
C2-2429	 U+6283
C2-242A	 U+628C
C2-242B	 U+628E
C2-242C	 U+628F
C2-242D	 U+6294
C2-242E	 U+6287
C2-242F	 U+6271
C2-2430	 U+627B
C2-2431	 U+627A
C2-2432	 U+6270
C2-2433	 U+6281
C2-2434	 U+6288
C2-2435	 U+6277
C2-2436	 U+627D
C2-2437	 U+6272
C2-2438	 U+6274
C2-2439	 U+65F0
C2-243A	 U+65F4
C2-243B	 U+65F3
C2-243C	 U+65F2
C2-243D	 U+65F5
C2-243E	 U+6745
C2-243F	 U+6747
C2-2440	 U+6759
C2-2441	 U+6755
C2-2442	 U+674C
C2-2443	 U+6748
C2-2444	 U+675D
C2-2445	 U+674D
C2-2446	 U+675A
C2-2447	 U+674B
C2-2448	 U+6BD0
C2-2449	 U+6C19
C2-244A	 U+6C1A
C2-244B	 U+6C78
C2-244C	 U+6C67
C2-244D	 U+6C6B
C2-244E	 U+6C84
C2-244F	 U+6C8B
C2-2450	 U+6C8F
C2-2451	 U+6C71
C2-2452	 U+6C6F
C2-2453	 U+6C69
C2-2454	 U+6C9A
C2-2455	 U+6C6D
C2-2456	 U+6C87
C2-2457	 U+6C95
C2-2458	 U+6C9C
C2-2459	 U+6C66
C2-245A	 U+6C73
C2-245B	 U+6C65
C2-245C	 U+6C7B
C2-245D	 U+6C8E
C2-245E	 U+7074
C2-245F	 U+707A
